id,pop,esalc_190_avg,esalc_160_avg,esalc_150_avg,esalc_140_avg,esalc_130_avg,esalc_40_avg,esalc_11_avg,wdpa_dist_avg,coastline_dist_avg,inland_water_dist_avg,waterbodies_dist_avg,road_intr_dist_avg,highway_dist_avg,elevation_avg,nightlights_avg,built_v_avg,built_s_avg,dens,lon,lat
1,9574,1.5739886784957626,5.598380671786723,81.14954096045197,19.855018538135592,2.267902956170551,8.298236118467514,-0.501675708145745,206.1682556497175,12.31242165430791,0.27539998717227226,0.2879966261696681,1.1199208405058263,0.2566463319595251,5.4307909604519775,1.4205318127648305,3519.2310734463276,584.9900776836158,10.818079096045198,105.09216907,10.79458509
2,16538,1.4717429932589534,5.421827825687118,83.42663797890062,22.08282941768462,4.323925943920044,8.810693278039977,-0.5801299760766588,212.09026235424764,13.450800987298724,0.42853579608550807,0.4680177814625555,1.688638961427679,0.38394722522860564,4.527738224857718,1.2143595355011105,1426.663797890061,400.5948778456413,9.182676290949473,105.11510785,10.74539287
3,11625,1.3378469824476418,1.167825905188407,68.90082866094987,29.250456072724276,0.9227505887718502,2.947073984271933,-0.3454947358385554,191.13452341688654,7.951794143717018,0.4355105196265872,0.42309232122979884,0.744011871418412,0.23005277689025397,6.642586499216689,1.356961293082124,2606.5230870712403,656.1860158311346,15.33641160949868,105.10674733,10.94481066
4,6815,1.7832355455217956,1.6191386515769342,73.0983238308314,25.23108671333718,2.381499891743649,1.590990872636403,-0.6155450481740762,191.5903940531178,11.897428235060623,0.39500113612785076,0.3445577291087796,2.212710197748268,0.39885332843172633,6.505012494587183,0.7179898092432881,1050.5098874133948,366.6409136836028,7.869515011547344,105.07266551,10.92848295
5,9302,0.6899703557312253,1.9756106651818799,70.39164402173913,27.993768141674902,1.2184426530076582,2.2859388509757905,-0.49595651136556634,190.28044713438734,9.888427734375,0.5384643916556016,0.528630433817626,0.8644682993530756,0.2521284653735255,6.4452893404150196,2.888520372714921,3685.3460968379445,778.625,18.383399209486164,105.08938340,10.94709863
6,10605,1.4413723826809763,1.6861906828703703,77.14076704545455,20.99744844276094,1.5875225234111954,4.748170835963805,-0.7662626427030724,194.27409511784512,14.347514204545455,0.5813225845696549,0.5946774055660774,6.393701336279461,0.6832504734848485,5.443089751683502,0.16636391585122054,896.7087542087542,270.93468013468015,7.141414141414141,105.05069619,10.89553026
7,9629,2.9189482017381656,2.211751904007951,80.46649061575444,18.182391826923077,1.0875262198363536,8.284100233450443,-0.6764326829176682,200.6222725591716,14.18445907683062,0.2840839589135887,0.39719007142196744,4.376126802884615,0.646528481026373,4.512896114552515,0.21065469324236086,485.48992233727813,183.20012019230768,3.5610207100591715,105.06058285,10.83739703
8,14819,3.2140056918912285,2.878044965770238,72.02947032511456,26.238895783329696,1.3650032857503274,5.1607878300240015,-0.6652500153420249,197.24607244163212,7.308394303676631,0.5850526167528093,0.8492509682522366,4.3144275549585425,1.4787288152206524,5.326969660293476,0.13982124836351734,384.4362044512328,140.0344752345625,3.233471525201833,105.11602278,10.88980747
9,8711,2.2933858401084013,3.853638687754065,77.26371104336043,21.023909637533876,3.1797795985772357,7.035557461043361,-0.6934520690421748,198.97257791327914,11.70223683096206,0.6612346370045732,0.4317972653603489,5.302658684789973,0.7256931873517954,5.158931974085366,0.24949665017890413,557.5492208672086,213.3848069105691,4.721409214092141,105.07890108,10.86018805
10,11814,1.0021708512506564,2.0386491022190127,74.30312281162465,23.721211922268907,2.7910853794642856,2.560122535342262,-0.5557374072675946,194.445137429972,11.380273984593838,0.5134453439578957,0.3026855853425355,4.197870163690476,0.6786932851753983,5.7094842819940474,0.4685242383086047,1489.985119047619,401.41784838935575,8.27310924369748,105.07762349,10.90336087
